shots_ontarget_win,shots_ontarget_lost,shots_offtarget_win,shots_offtarget_lost,shotsblocked_win,shotsblocked_lost,chances2score_win,chances2score_lost,drib_success_win,drib_success_lost,drib_unsuccess_win,drib_unsuccess_lost,keypasses_win,keypasses_lost,owngoals_win,owngoals_lost,dangmistakes_win,dangmistakes_lost,ycards_win,ycards_lost,rcards_win,rcards_lost,interceptions_win,interceptions_lost,Predicted_Value,fixture_id
5.0,2.0,16.0,2.0,11.0,-6.181222e-08,9.0,4.0,12.0,3.0,6.0,1.9999999,3.0,0.99999994,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,1.0,1.0,4.982384e-10,-1.5483717e-09,23.0,24.0,0.026660684,1710834
1.0000001,5.0,6.0,10.0,4.0,0.99999994,3.0000002,12.0,5.0,0.99999976,6.0,-6.3774515e-08,0.99999994,-1.9721043e-07,-1.8396495e-10,-2.7594743e-10,1.0,1.0,1.0,3.0,4.982384e-10,-1.5483717e-09,16.0,18.0,0.003700665,1710811
10.0,1.5796458e-07,10.0,5.0,5.0,0.99999994,11.0,3.0,5.0,5.0,3.0,4.0,2.0,0.99999994,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,2.0,-4.2189296e-08,2.0,4.982384e-10,-1.5483717e-09,19.0,34.0,0.99543,1711029
1.0000001,4.0,6.0,11.0,1.0,5.0,7.0,13.0,1.0000002,5.0,4.0,6.0,5.0,6.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.0,3.0,1.0,4.982384e-10,-1.5483717e-09,28.0,12.0,0.9785513,1711171
4.0,2.0,4.0,3.0,2.0,-6.181222e-08,4.0,5.0,3.0,4.0,3.0,1.9999999,3.0,3.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.0,-4.2189296e-08,-6.426509e-08,4.982384e-10,-1.5483717e-09,16.0,16.0,0.9944876,1711177
5.0,0.99999994,8.0,4.0,1.393228e-07,0.99999994,11.0,3.0,6.0,5.0,2.0,1.9999999,5.0,0.99999994,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.0,2.0,1.0,4.982384e-10,-1.5483717e-09,16.0,17.0,0.98993874,1711070
6.0,3.0,4.0,5.0,1.0,4.0,8.0,5.0,3.0,11.0,2.0,5.0,3.0,-1.9721043e-07,-1.8396495e-10,-2.7594743e-10,1.0,1.1283184e-08,4.0,2.0,4.982384e-10,-1.5483717e-09,20.0,28.0,0.9681247,1711140
5.0,0.99999994,1.0000002,7.0,1.0,3.0,2.0000002,3.0,14.0,6.0,5.0,12.0,1.923047e-07,2.0,-1.8396495e-10,-2.7594743e-10,1.0,3.0,1.0,1.0,4.982384e-10,-1.5483717e-09,25.0,25.0,0.9954657,1711025
5.0,3.0,3.0,3.0,2.0,0.99999994,7.0,4.0,7.0,5.0,4.0,4.0,5.0,0.99999994,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,4.0,3.0,4.982384e-10,-1.5483717e-09,18.0,28.0,0.012416972,1710814
2.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,0.99999994,0.99999994,-1.8396495e-10,-2.7594743e-10,2.0,1.1283184e-08,-4.2189296e-08,-6.426509e-08,4.982384e-10,-1.5483717e-09,13.999999,8.0,0.0065750605,1710963
4.0,2.0,19.0,2.0,9.0,2.0,15.0,3.0,8.0,4.0,5.0,1.9999999,10.999999,3.0,-1.8396495e-10,-2.7594743e-10,2.0,2.0,2.0,2.0,4.982384e-10,-1.5483717e-09,21.0,25.0,0.016183197,1710865
3.0,3.0,9.0,5.0,5.0,0.99999994,7.0,7.0,13.0,4.0,8.0,6.0,2.0,3.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.0,3.0,4.0,4.982384e-10,-1.5483717e-09,15.0,15.0,0.9936091,1711129
1.0000001,3.0,5.0,11.0,2.0,5.0,4.0,10.0,8.0,16.0,2.433243e-07,4.0,2.0,4.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,2.0,1.0,-6.426509e-08,4.982384e-10,-1.5483717e-09,15.0,13.0,0.9836797,1711164
4.0,2.0,8.0,5.0,4.0,3.0,5.0,3.0,2.0,11.0,6.0,12.0,2.0,0.99999994,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.0,-4.2189296e-08,3.0,4.982384e-10,-1.5483717e-09,36.0,22.0,0.9929603,1711064
1.0498267e-07,5.0,2.0000002,8.0,1.0,2.0,0.9999997,12.0,3.0,8.0,5.0,3.0,0.99999994,2.0,-1.8396495e-10,-2.7594743e-10,1.0,3.0,1.0,1.0,4.982384e-10,-1.5483717e-09,31.0,20.0,0.003208102,1710917
4.0,0.99999994,7.0,5.0,1.0,0.99999994,7.0,5.0,4.0,3.0,1.0000002,4.0,0.99999994,4.0,-1.8396495e-10,-2.7594743e-10,1.0,1.0,-4.2189296e-08,2.0,4.982384e-10,-1.5483717e-09,43.0,19.0,0.9895364,1711046
