p1_ace,p2_ace,p1_break_pt_won,p2_break_pt_won,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,PointServer,Speed_KMH,p1_net_pt,p2_net_pt,p1_distance_run,p2_distance_run,Predicted_Value,Time
-5.710605e-10,-7.364335e-10,1.1412836e-09,3.9019674e-10,-2.1058902e-10,-2.2566099e-10,7.937908e-10,-4.3139345e-09,2.0,149.0,4.6254223e-09,-9.0264396e-10,30.563,41.037,0.5500986,0:00:00
-5.710605e-10,-7.364335e-10,1.1412836e-09,3.9019674e-10,-2.1058902e-10,1.0,7.937908e-10,1.0,2.0,9.1916286e-07,4.6254223e-09,-9.0264396e-10,6.074,9.081,0.9100701,0:00:53
-5.710605e-10,-7.364335e-10,1.1412836e-09,3.9019674e-10,-2.1058902e-10,-2.2566099e-10,1.0,-4.3139345e-09,2.0,141.0,4.6254223e-09,-9.0264396e-10,4.926,5.8490005,0.12501787,0:01:52
-5.710605e-10,-7.364335e-10,1.1412836e-09,3.9019674e-10,-2.1058902e-10,-2.2566099e-10,7.937908e-10,-4.3139345e-09,2.0,149.0,4.6254223e-09,1.0,20.259,17.881,0.17942296,0:02:26
-5.710605e-10,-7.364335e-10,1.1412836e-09,3.9019674e-10,-2.1058902e-10,-2.2566099e-10,7.937908e-10,-4.3139345e-09,2.0,165.0,4.6254223e-09,-9.0264396e-10,8.25,7.574001,0.26313078,0:02:55
-5.710605e-10,-7.364335e-10,1.1412836e-09,3.9019674e-10,-2.1058902e-10,-2.2566099e-10,7.937908e-10,1.0,2.0,165.0,4.6254223e-09,-9.0264396e-10,22.958,30.808,0.89335674,0:03:22
-5.710605e-10,-7.364335e-10,1.1412836e-09,3.9019674e-10,-2.1058902e-10,-2.2566099e-10,7.937908e-10,-4.3139345e-09,2.0,188.0,4.6254223e-09,-9.0264396e-10,6.508,8.649,0.27598765,0:03:54
-5.710605e-10,-7.364335e-10,1.1412836e-09,3.9019674e-10,-2.1058902e-10,-2.2566099e-10,7.937908e-10,-4.3139345e-09,2.0,185.0,4.6254223e-09,-9.0264396e-10,8.745001,6.6960006,0.24918604,0:04:24
-5.710605e-10,-7.364335e-10,1.1412836e-09,3.9019674e-10,-2.1058902e-10,-2.2566099e-10,1.0,-4.3139345e-09,1.0,165.0,4.6254223e-09,-9.0264396e-10,17.159,15.4,0.13836795,0:05:32
-5.710605e-10,-7.364335e-10,1.1412836e-09,3.9019674e-10,-2.1058902e-10,-2.2566099e-10,7.937908e-10,-4.3139345e-09,1.0,125.0,4.6254223e-09,-9.0264396e-10,5.2809997,4.5499997,0.69793403,0:06:03
-5.710605e-10,-7.364335e-10,1.1412836e-09,3.9019674e-10,-2.1058902e-10,-2.2566099e-10,7.937908e-10,-4.3139345e-09,1.0,135.0,4.6254223e-09,-9.0264396e-10,15.589,13.644,0.6007718,0:06:49
-5.710605e-10,-7.364335e-10,1.1412836e-09,3.9019674e-10,-2.1058902e-10,-2.2566099e-10,1.0,-4.3139345e-09,1.0,172.0,4.6254223e-09,-9.0264396e-10,17.373,39.317,0.15344773,0:07:39
-5.710605e-10,-7.364335e-10,1.1412836e-09,3.9019674e-10,-2.1058902e-10,-2.2566099e-10,7.937908e-10,-4.3139345e-09,1.0,178.0,4.6254223e-09,-9.0264396e-10,12.991,8.89,0.6765262,0:08:12
-5.710605e-10,-7.364335e-10,1.1412836e-09,3.9019674e-10,-2.1058902e-10,-2.2566099e-10,7.937908e-10,1.0,1.0,185.0,4.6254223e-09,-9.0264396e-10,14.946,24.991001,0.90279055,0:08:58
-5.710605e-10,-7.364335e-10,1.1412836e-09,3.9019674e-10,-2.1058902e-10,-2.2566099e-10,1.0,-4.3139345e-09,1.0,172.0,4.6254223e-09,-9.0264396e-10,5.522,9.867001,0.14104731,0:09:27
-5.710605e-10,-7.364335e-10,1.1412836e-09,3.9019674e-10,-2.1058902e-10,-2.2566099e-10,7.937908e-10,1.0,1.0,188.0,4.6254223e-09,-9.0264396e-10,27.227,18.975,0.896816,0:09:57
