fixture_id,goals_win,assists_win,shots_ontarget_win,shots_offtarget_win,shotsblocked_win,chances2score_win,drib_success_win,drib_unsuccess_win,keypasses_win,passes_acc_win,passes_inacc_win,crosses_acc_win,crosses_inacc_win,lballs_acc_win,lballs_inacc_win,grduels_w_win,grduels_l_win,aerials_w_win,aerials_l_win,poss_lost_win,fouls_win,wasfouled_win,clearances_win,stop_shots_win,interceptions_win,tackles_win,dribbled_past_win,tballs_acc_win,tballs_inacc_win,ycards_win,rcards_win,dangmistakes_win,countattack_win,offsides_win,goals_ag_otb_win,goals_ag_itb_win,saves_itb_win,saves_otb_win,saved_pen_win,missed_penalties_win,owngoals_win,p1,p2,goals_lost,assists_lost,shots_ontarget_lost,shots_offtarget_lost,shotsblocked_lost,chances2score_lost,drib_success_lost,drib_unsuccess_lost,keypasses_lost,passes_acc_lost,passes_inacc_lost,crosses_acc_lost,crosses_inacc_lost,lballs_acc_lost,lballs_inacc_lost,grduels_w_lost,grduels_l_lost,aerials_w_lost,aerials_l_lost,poss_lost_lost,fouls_lost,wasfouled_lost,clearances_lost,stop_shots_lost,interceptions_lost,tackles_lost,dribbled_past_lost,tballs_acc_lost,tballs_inacc_lost,ycards_lost,rcards_lost,dangmistakes_lost,countattack_lost,offsides_lost,goals_ag_otb_lost,goals_ag_itb_lost,saves_itb_lost,saves_otb_lost,saved_pen_lost,missed_penalties_lost,owngoals_lost
1710834,0,0,5,16,11,9,12,6,3,335,80,12,14,36,34,46,39,25,20,153,13,6,7,0,23,12,2,0,2,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,2,2,0,4,3,2,1,146,73,3,9,37,40,24,39,21,20,121,8,11,34,12,24,12,14,1,2,1,0,0,4,8,0,0,3,2,0,0,0
1710811,0,0,1,6,4,3,5,6,1,470,48,11,14,32,22,30,29,21,12,106,4,14,8,1,16,6,0,0,2,1,0,1,0,0,0,1,1,4,0,0,0,0,1,1,1,5,10,1,12,1,0,0,145,55,5,5,28,19,31,34,20,28,85,14,1,12,4,18,14,6,2,3,3,0,1,35,2,0,0,0,0,0,0,0
1711029,4,3,10,10,5,11,5,3,2,357,55,6,14,26,20,43,29,23,12,108,6,12,8,1,19,12,2,3,7,0,0,0,7,2,0,0,0,0,0,0,0,1,0,0,0,0,5,1,3,5,4,1,253,68,3,7,33,37,43,53,21,24,105,15,11,18,5,34,18,5,1,5,2,0,2,0,7,0,0,0,0,0,0,0
1711171,1,0,1,6,1,7,1,4,5,103,47,8,7,27,23,28,28,16,12,98,10,7,37,5,28,16,5,2,4,3,0,0,17,1,0,0,2,3,0,0,0,1,0,0,0,4,11,5,13,5,6,6,460,70,9,21,37,24,41,36,14,15,140,13,13,12,0,12,10,2,5,14,1,0,1,1,0,0,1,1,0,0,0,0
1711177,1,0,4,4,2,4,3,3,3,261,56,6,10,34,27,20,35,5,9,91,6,4,7,1,16,8,2,5,9,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,3,0,5,4,2,3,306,41,7,7,18,8,36,24,11,5,77,5,8,17,3,16,4,3,0,1,0,0,1,8,1,0,3,4,2,0,0,0
1711070,1,1,5,8,0,11,6,2,5,279,54,12,18,20,23,36,25,19,8,109,10,7,7,1,16,9,5,1,2,2,0,0,16,2,0,0,0,0,0,0,0,1,0,0,0,1,4,1,3,5,2,1,317,54,5,5,27,16,25,33,8,20,83,7,11,14,1,17,7,6,1,8,1,0,1,27,6,0,1,5,2,0,0,0
1711140,2,1,6,4,1,8,3,2,3,317,49,3,4,31,15,32,29,10,10,81,12,10,14,4,20,8,7,1,3,4,0,1,12,0,0,0,0,0,0,0,0,1,0,1,0,3,5,4,5,11,5,0,293,68,4,20,32,28,32,31,8,8,122,11,11,7,2,28,10,3,2,11,2,0,0,12,5,0,3,2,2,0,0,0
1711025,4,2,5,1,1,2,14,5,0,193,57,0,2,15,25,50,40,15,13,89,7,7,15,3,25,17,4,0,5,1,0,1,20,3,0,0,0,0,0,0,0,1,0,1,0,1,7,3,3,6,12,2,407,71,4,16,19,17,49,56,21,20,134,6,8,9,1,25,19,13,1,3,1,0,3,9,0,0,0,0,0,0,0,0
1710814,0,0,5,3,2,7,7,4,5,240,71,5,9,26,24,39,33,15,21,107,10,11,14,1,18,13,2,2,8,4,0,0,11,4,0,0,0,0,0,0,0,0,1,1,1,3,3,1,4,5,4,1,288,54,2,11,17,22,42,39,21,13,115,12,9,19,2,28,13,7,0,3,3,0,0,23,4,0,0,0,0,0,0,0
1710963,1,1,2,4,1,4,2,3,1,312,37,4,3,13,11,23,30,9,10,59,11,4,11,3,14,4,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,2,1,4,4,2,4,4,3,1,325,34,7,14,13,7,30,18,6,6,66,2,9,3,0,8,1,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0
